sample-id	sequencing_platform	genotype	compartment	genotype_compartment
NTC1	novaseq	NTC	NTC	NTC
z001	novaseq	Col-7	endo	Col-7_endo
z002	novaseq	Col-7	endo	Col-7_endo
z003	novaseq	Col-7	endo	Col-7_endo
z004	novaseq	Col-7	endo	Col-7_endo
z005	novaseq	Col-7	endo	Col-7_endo
z006	novaseq	Col-7	endo	Col-7_endo
z007	novaseq	Col-7	endo	Col-7_endo
z008	novaseq	Col-7	endo	Col-7_endo
z009	novaseq	Col-7	endo	Col-7_endo
z010	novaseq	Col-7	endo	Col-7_endo
z011	novaseq	Col-7	endo	Col-7_endo
z012	novaseq	Col-7	endo	Col-7_endo
z013	novaseq	Col-7	endo	Col-7_endo
z014	novaseq	Col-7	endo	Col-7_endo
z015	novaseq	Col-7	endo	Col-7_endo
z016	novaseq	Col-7	endo	Col-7_endo
z017	novaseq	Col-7	endo	Col-7_endo
z018	novaseq	Col-7	endo	Col-7_endo
z019	novaseq	Col-7	endo	Col-7_endo
z020	novaseq	Col-7	endo	Col-7_endo
z021	novaseq	scord7	endo	scord7_endo
z022	novaseq	scord7	endo	scord7_endo
z023	novaseq	scord7	endo	scord7_endo
z024	novaseq	scord7	endo	scord7_endo
z025	novaseq	scord7	endo	scord7_endo
z026	novaseq	scord7	endo	scord7_endo
z027	novaseq	scord7	endo	scord7_endo
z028	novaseq	scord7	endo	scord7_endo
z029	novaseq	scord7	endo	scord7_endo
z030	novaseq	scord7	endo	scord7_endo
z031	novaseq	scord7	endo	scord7_endo
z032	novaseq	scord7	endo	scord7_endo
z033	novaseq	scord7	endo	scord7_endo
z034	novaseq	scord7	endo	scord7_endo
z035	novaseq	scord7	endo	scord7_endo
z036	novaseq	scord7	endo	scord7_endo
z037	novaseq	scord7	endo	scord7_endo
z038	novaseq	scord7	endo	scord7_endo
z039	novaseq	scord7	endo	scord7_endo
z040	novaseq	scord7	endo	scord7_endo
z041	novaseq	scord5	endo	scord5_endo
z042	novaseq	scord5	endo	scord5_endo
z043	novaseq	scord5	endo	scord5_endo
z044	novaseq	scord5	endo	scord5_endo
z045	novaseq	scord5	endo	scord5_endo
z046	novaseq	scord5	endo	scord5_endo
z047	novaseq	scord5	endo	scord5_endo
z048	novaseq	scord5	endo	scord5_endo
z049	novaseq	scord5	endo	scord5_endo
z050	novaseq	scord5	endo	scord5_endo
z051	novaseq	scord5	endo	scord5_endo
z052	novaseq	scord5	endo	scord5_endo
z053	novaseq	scord5	endo	scord5_endo
z054	novaseq	scord5	endo	scord5_endo
z055	novaseq	scord5	endo	scord5_endo
z056	novaseq	scord5	endo	scord5_endo
z057	novaseq	scord5	endo	scord5_endo
z058	novaseq	scord5	endo	scord5_endo
z059	novaseq	scord5	endo	scord5_endo
z060	novaseq	scord5	endo	scord5_endo
z064	novaseq	Ler	endo	Ler_endo
z065	novaseq	Ler	endo	Ler_endo
z066	novaseq	Ler	endo	Ler_endo
z067	novaseq	Ler	endo	Ler_endo
z068	novaseq	Ler	endo	Ler_endo
z069	novaseq	Ler	endo	Ler_endo
z070	novaseq	Ler	endo	Ler_endo
z071	novaseq	Ler	endo	Ler_endo
z072	novaseq	Ler	endo	Ler_endo
z073	novaseq	Ler	endo	Ler_endo
z074	novaseq	Ler	endo	Ler_endo
z075	novaseq	Ler	endo	Ler_endo
z076	novaseq	Ler	endo	Ler_endo
z077	novaseq	Ler	endo	Ler_endo
z078	novaseq	Ler	endo	Ler_endo
z079	novaseq	Ler	endo	Ler_endo
z080	novaseq	Ler	endo	Ler_endo
z081	novaseq	ost1-2	endo	ost1-2_endo
z082	novaseq	ost1-2	endo	ost1-2_endo
z083	novaseq	ost1-2	endo	ost1-2_endo
z084	novaseq	ost1-2	endo	ost1-2_endo
z085	novaseq	ost1-2	endo	ost1-2_endo
z086	novaseq	ost1-2	endo	ost1-2_endo
z087	novaseq	ost1-2	endo	ost1-2_endo
z088	novaseq	ost1-2	endo	ost1-2_endo
z089	novaseq	ost1-2	endo	ost1-2_endo
z090	novaseq	ost1-2	endo	ost1-2_endo
z091	novaseq	ost1-2	endo	ost1-2_endo
z092	novaseq	ost1-2	endo	ost1-2_endo
z093	novaseq	ost1-2	endo	ost1-2_endo
z094	novaseq	ost1-2	endo	ost1-2_endo
z095	novaseq	ost1-2	endo	ost1-2_endo
z096	novaseq	ost1-2	endo	ost1-2_endo
z097	novaseq	ost1-2	endo	ost1-2_endo
z098	novaseq	ost1-2	endo	ost1-2_endo
z099	novaseq	ost1-2	endo	ost1-2_endo
z100	novaseq	ost1-2	endo	ost1-2_endo
