sample-id	sample	sequencing_platform	genotype	compartment	genotype_compartment	genotype_sequencing_platform
NTC1-PE250	NTC	miseq_PE250	NTC	NTC	NTC	NTC
NTC2-PE250	NTC	miseq_PE250	NTC	NTC	NTC	NTC
NTC3-PE250	NTC	miseq_PE250	NTC	NTC	NTC	NTC
z101-PE250	z101	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z102-PE250	z102	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z103-PE250	z103	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z104-PE250	z104	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z105-PE250	z105	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z106-PE250	z106	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z107-PE250	z107	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z108-PE250	z108	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z109-PE250	z109	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z110-PE250	z110	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z111-PE250	z111	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z112-PE250	z112	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z113-PE250	z113	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z114-PE250	z114	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z115-PE250	z115	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z116-PE250	z116	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z117-PE250	z117	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z118-PE250	z118	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z119-PE250	z119	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z120-PE250	z120	miseq_PE250	Col-7	total	Col-7_total	Col-7_miseq_PE250
z121-PE250	z121	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z122-PE250	z122	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z123-PE250	z123	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z124-PE250	z124	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z125-PE250	z125	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z126-PE250	z126	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z127-PE250	z127	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z128-PE250	z128	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z129-PE250	z129	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z130-PE250	z130	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
z131-PE250	z131	miseq_PE250	scord7	total	scord7_total	scord7_miseq_PE250
